epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,7148.72,1.22374,0.67978,1.01464,0.77549,0.71648,0.77631,0.47397,1.34025,0.84577,1.10621,0.0015842,0.0015842,0.0015842
107,7215.49,1.18349,0.64869,0.9906,0.77569,0.76014,0.80228,0.48361,1.31798,0.78503,1.0999,0.00158024,0.00158024,0.00158024
108,7282.67,1.16903,0.68578,0.99129,0.77163,0.71827,0.777,0.46792,1.34432,0.85761,1.10405,0.00157628,0.00157628,0.00157628
109,7349.77,1.21754,0.68303,1.00427,0.73504,0.72146,0.76502,0.46216,1.32287,0.85098,1.10367,0.00157232,0.00157232,0.00157232
110,7416.55,1.17801,0.65899,1.00213,0.78829,0.7032,0.76318,0.44488,1.40786,0.86058,1.12876,0.00156836,0.00156836,0.00156836
111,7483.65,1.1994,0.67042,1.01305,0.76403,0.69167,0.75351,0.4187,1.47531,0.89817,1.16217,0.0015644,0.0015644,0.0015644
112,7550.63,1.28483,0.69014,1.0371,0.81035,0.70743,0.80511,0.46787,1.40033,0.87969,1.1344,0.00156044,0.00156044,0.00156044
113,7617.59,1.22606,0.67926,1.0143,0.77141,0.73065,0.79247,0.45778,1.41408,0.81718,1.1278,0.00155648,0.00155648,0.00155648
114,7684.64,1.19119,0.65146,1.00234,0.79647,0.74458,0.80419,0.45833,1.41578,0.81276,1.13526,0.00155252,0.00155252,0.00155252
115,7751.37,1.16721,0.63701,1.00382,0.73686,0.74991,0.78988,0.45934,1.3996,0.8332,1.12659,0.00154856,0.00154856,0.00154856
116,7818.15,1.13696,0.63627,1.00413,0.80492,0.70898,0.80271,0.49476,1.32879,0.80197,1.0943,0.0015446,0.0015446,0.0015446
117,7885.29,1.16247,0.63107,0.98271,0.81611,0.71448,0.79587,0.46449,1.36193,0.81375,1.1148,0.00154064,0.00154064,0.00154064
118,7952.23,1.18772,0.65254,1.00049,0.7594,0.74458,0.79079,0.4793,1.32242,0.82582,1.11044,0.00153668,0.00153668,0.00153668
119,8019.4,1.19478,0.66978,1.01368,0.7625,0.71672,0.75402,0.43011,1.40273,0.89656,1.13023,0.00153272,0.00153272,0.00153272
120,8086.18,1.20835,0.63146,1.00022,0.79917,0.73529,0.81763,0.48902,1.32828,0.75328,1.09814,0.00152876,0.00152876,0.00152876
121,8153.28,1.19297,0.64218,0.99936,0.74489,0.74149,0.79825,0.45777,1.49682,0.86222,1.15189,0.0015248,0.0015248,0.0015248
122,8220.16,1.15723,0.61969,0.97713,0.79356,0.74978,0.81947,0.47425,1.37909,0.79132,1.11593,0.00152084,0.00152084,0.00152084
